date;infections;reported
2020-12-18;31300;527
2020-12-19;22771;1450
2020-12-20;16643;1264
2020-12-21;19528;1801
2020-12-22;24740;4209
2020-12-23;32195;4897
2020-12-24;0;3678
2020-12-25;14455;1270
2020-12-26;13755;982
2020-12-27;10976;920
2020-12-28;12892;1748
2020-12-29;22459;3940
2020-12-30;32552;4289
2020-12-31;0;3038
2021-01-01;12690;1079
2021-01-02;10315;1117
2021-01-03;9847;1036
2021-01-04;11897;1667
2021-01-05;21237;4127
2021-01-06;26391;3584
2021-01-07;31849;2740
2021-01-08;24694;3091
2021-01-09;16946;2472
2021-01-10;12497;763
2021-01-11;12802;1241
2021-01-12;19600;2853
2021-01-13;25164;2684
2021-01-14;22368;2422
2021-01-15;18678;2400
2021-01-16;13882;1973
2021-01-17;7141;734
2021-01-18;11369;1145
2021-01-19;15974;2756
2021-01-20;20398;2493
2021-01-21;17862;2199
2021-01-22;16417;2115
2021-01-23;12257;1829
2021-01-24;6729;806
2021-01-25;6412;1003
2021-01-26;13198;2226
2021-01-27;17553;2032
2021-01-28;14022;1784
2021-01-29;12321;1828
2021-01-30;11192;1594
2021-01-31;5608;606
2021-02-01;6114;826
2021-02-02;9705;1848
2021-02-03;14211;1764
2021-02-04;12908;1596
2021-02-05;10485;1610
2021-02-06;8616;1244
2021-02-07;4535;522
2021-02-08;3379;526
2021-02-09;8072;1399
2021-02-10;10237;1276
2021-02-11;9860;1280
2021-02-12;8354;1276
2021-02-13;6114;1171
2021-02-14;4426;292
2021-02-15;3856;575
2021-02-16;7556;1552
2021-02-17;10207;1376
2021-02-18;9113;1237
2021-02-19;9164;1458
2021-02-20;7676;1126
2021-02-21;4369;386
2021-02-22;3883;682
2021-02-23;8007;1724
2021-02-24;11869;1500
2021-02-25;9997;1252
2021-02-26;9762;1465
2021-02-27;7890;1068
2021-02-28;4732;418
2021-03-01;3943;634
2021-03-02;9019;1614
2021-03-03;11912;1618
2021-03-04;10580;1309
2021-03-05;9557;1539
2021-03-06;8103;1277
2021-03-07;5011;506
